,,option,position,wind_id,k,p,close,iv,delta,gamma,vega,theta
20190801,open a position,option(delta<-0.25),0.060443695310251115,10001896.SH,2.9,0.030221847655125558,0.0372,0.1726551353931427,-0.37810589525050353,2.758400312208566,0.3034756879160412,-0.3312236310520964
20190801,open a position,option(delta>-0.25),1.9395563046897488,10001895.SH,2.85,0.9697781523448744,0.0204,0.17096087336540222,-0.2460077499780513,2.308613242404166,0.2514982810879202,-0.27577492865829006
20190801,open a position,option(delta<-0.5),-0.8462399428168961,10001897.SH,2.95,0.8462399428168961,0.0595,0.1693185269832611,-0.5221479081384146,2.9470810031287162,0.31796818322153714,-0.3320642715903501
20190801,open a position,option(delta>-0.5),-0.15376005718310393,10001896.SH,2.9,0.15376005718310393,0.0372,0.1726551353931427,-0.37810589525050353,2.758400312208566,0.3034756879160412,-0.3312236310520964
20190802,close a position,option(delta<-0.25),-0.060443695310251115,10001896.SH,2.9,0.030221847655125558,0.0572,0.17601916193962097,-0.5078637795271215,2.937836686143785,0.3076548512885674,-0.3496149238866158
20190802,close a position,option(delta>-0.25),-1.9395563046897488,10001895.SH,2.85,0.9697781523448744,0.0352,0.1782127320766449,-0.3643856559435923,2.732894475765574,0.28975955097177203,-0.34069945217449016
20190802,close a position,option(delta<-0.5),0.8462399428168961,10001897.SH,2.95,0.8462399428168961,0.0873,0.17689374089241028,-0.6485691858738175,2.7187042917690394,0.28612157575250247,-0.3160318414858213
20190802,close a position,option(delta>-0.5),0.15376005718310393,10001896.SH,2.9,0.15376005718310393,0.0572,0.17601916193962097,-0.5078637795271215,2.937836686143785,0.3076548512885674,-0.3496149238866158
20190806,open a position,option(delta<-0.25),-0.34367437832903347,10001893.SH,2.75,0.17183718916451673,0.0351,0.21993979811668396,-0.3386830934130898,2.4155666110345466,0.251952335010539,-0.4399850643683569
20190806,open a position,option(delta>-0.25),-1.6563256216709665,10001892.SH,2.7,0.8281628108354833,0.0217,0.22716209292411804,-0.23159896423851023,1.9485759179982216,0.20991754556412412,-0.38214461142772693
20190806,open a position,option(delta<-0.5),0.24444241503264372,10001895.SH,2.85,0.24444241503264372,0.0811,0.20944753289222717,-0.602706637704598,2.673728489845087,0.26557555660439747,-0.42599372516849476
20190806,open a position,option(delta>-0.5),0.7555575849673563,10001894.SH,2.8,0.7555575849673563,0.0542,0.21251603960990906,-0.466771747038342,2.716505903725934,0.2737776016654035,-0.45537733328582686
20190807,close a position,option(delta<-0.25),0.34367437832903347,10001893.SH,2.75,0.17183718916451673,0.0383,0.2178446352481842,-0.37018339541001,2.589383613089595,0.25280715876612175,-0.4571782058004878
20190807,close a position,option(delta>-0.25),1.6563256216709665,10001892.SH,2.7,0.8281628108354833,0.023,0.2223900854587555,-0.2515382339296445,2.141381148885201,0.21343001757275606,-0.3979901535393923
20190807,close a position,option(delta<-0.5),-0.24444241503264372,10001895.SH,2.85,0.24444241503264372,0.0906,0.2171659767627716,-0.6381275327983599,2.5779021711617855,0.25090211438182675,-0.43608919740010366
20190807,close a position,option(delta>-0.5),-0.7555575849673563,10001894.SH,2.8,0.7555575849673563,0.0597,0.21233978867530823,-0.5060444776194883,2.8061170407150082,0.2670442709083614,-0.4633444373262235
20190807,open a position,option(delta<-0.25),-1.9654833227529795,10001892.SH,2.7,0.9827416613764898,0.023,0.2223900854587555,-0.2515382339296445,2.141381148885201,0.21343001757275606,-0.3979901535393923
20190807,open a position,option(delta>-0.25),-0.034516677247020455,10001932.SH,2.65,0.017258338623510228,0.0136,0.23086783289909363,-0.16240833775591856,1.5896795125562335,0.16448227597422402,-0.32067161204184635
20190807,open a position,option(delta<-0.5),0.9555098669818586,10001894.SH,2.8,0.9555098669818586,0.0597,0.21233978867530823,-0.5060444776194883,2.8061170407150082,0.2670442709083614,-0.4633444373262235
20190807,open a position,option(delta>-0.5),0.04449013301814142,10001893.SH,2.75,0.04449013301814142,0.0383,0.2178446352481842,-0.37018339541001,2.589383613089595,0.25280715876612175,-0.4571782058004878
20190808,close a position,option(delta<-0.25),1.9654833227529795,10001892.SH,2.7,0.9827416613764898,0.0142,0.22573509812355042,-0.17263961109005466,1.708373030606799,0.1693552509599335,-0.3387846410295468
20190808,close a position,option(delta>-0.25),0.034516677247020455,10001932.SH,2.65,0.017258338623510228,0.0085,0.23835507035255432,-0.10902908878967055,1.182883992149432,0.12381789582633779,-0.26295946032196443
20190808,close a position,option(delta<-0.5),-0.9555098669818586,10001894.SH,2.8,0.9555098669818586,0.0415,0.2166246473789215,-0.39585030466505755,2.6837846513600714,0.255312691251895,-0.48143352879050055
20190808,close a position,option(delta>-0.5),-0.04449013301814142,10001893.SH,2.75,0.04449013301814142,0.0247,0.21946993470191956,-0.27024488474048736,2.274448568608808,0.21921386793887782,-0.42321627072510587
20190812,open a position,option(delta<-0.25),1.3908883499949318,10001894.SH,2.8,0.6954441749974659,0.0243,0.22174128890037537,-0.2855397511349522,2.551180965277348,0.20411552962751175,-0.4993861924029699
