,trade_date,s0,delta_s,balance,return,from_gamma,from_vega,from_theta
0,20190719,2.94,0.03500000000000014,-0.000885154612224371,-0.000885154612224371,-0.0016495361200095826,-0.000798862487940558,0.001771908645538312
0,20190729,2.978,-0.0039999999999995595,0.0006875583608328371,0.0015727129730572081,1.2588512258156854e-05,0.0032759728014115563,-0.0015546101391714245
0,20190730,2.988,0.009999999999999787,0.0005363549319763357,-0.00015120342885650145,7.521465365509033e-05,0.0002631426085446444,-0.0005987287023945556
0,20190731,2.96,-0.028000000000000025,0.001664852285396947,0.0011284973534206114,0.0005982952686363518,0.00098132033276984,-0.0006167370800993154
0,20190801,2.935,-0.02499999999999991,-0.002330233014707795,-0.003995085300104742,0.00047657465486921453,-0.00292735492091227,-0.0006401770417957252
0,20190802,2.89,-0.04499999999999993,0.0009834026469337058,0.003313635661641501,0.00174792312595792,0.001403835586918569,-0.0006108667592775406
0,20190807,2.7910000000000004,-0.01399999999999979,0.004208190988239113,0.003224788341305407,-0.00013245633770881963,0.002305214204598781,0.0009204733463201126
0,20190808,2.8310000000000004,0.040000000000000036,0.0036851338943085857,-0.0005230570939305269,-0.0011737958790096874,-0.00033409806997372767,0.0009047710330720017
0,20190813,2.84,-0.028999999999999915,0.0002958925024256348,-0.003389241391882951,0.000782894251266361,-0.0023796934765264698,-0.0009098987079984826
0,20190814,2.8489999999999998,0.008999999999999897,0.000986234439794717,0.0006903419373690822,7.890771323156403e-05,0.001057327808940358,-0.000883716032766258
0,20190816,2.87,0.01200000000000001,0.0018235430312417318,0.0008373085914470148,0.00017456553445026015,0.0018593723290557679,-0.0009068666847110894
0,20190819,2.927,0.05699999999999994,0.00702564371277156,0.0052021006815298285,0.003927596947615563,0.006225133140179345,-0.0029866387823511663
0,20190820,2.9210000000000003,-0.005999999999999783,0.004115978262940363,-0.002909665449831197,4.3247515700235e-05,-0.0016717003409677487,-0.001242087223234337
0,20190821,2.9189999999999996,-0.002000000000000668,0.0018580501223889427,-0.0022579281405514205,5.406872305717917e-06,-0.0011981167550417565,-0.0012044911594355774
0,20190822,2.923,0.004000000000000448,0.001081563981844752,-0.0007764861405441907,2.4366873846128687e-05,0.0003228364309067094,-0.001173621335425773
0,20190823,2.963,0.040000000000000036,0.004408057626859377,0.003326493645014625,0.002656619970456201,0.0026366494098483966,-0.0012704265947272142
0,20190826,2.9139999999999997,-0.04900000000000038,0.003500288936559553,-0.000907768690299824,0.004273579777215233,0.00044955586638661775,-0.0037402435558729274
0,20190904,2.9730000000000003,0.034000000000000696,0.00642176832616774,0.002921479389608187,0.0010251025761779263,0.0024271846852275715,-0.0007061038156579316
0,20190905,3.0039999999999996,0.03099999999999925,0.00999238368661419,0.0035706153604464497,0.0009003732496057045,0.003248053701157001,-0.0007126717142585004
0,20190906,3.037,0.03300000000000036,0.01066311872770849,0.0006707350410943003,0.0009985333995556193,0.0005128328855649388,-0.000751264071323999
0,20190909,3.032,-0.004999999999999893,0.009256202618981274,-0.0014069161087272158,2.666679308177934e-05,0.0012401981005569006,-0.0024152774023240235
0,20190910,3.0210000000000004,-0.010999999999999677,0.009211325994714165,-4.487662426710948e-05,0.0001356282017204606,0.001088023841979957,-0.0009180923798163162
0,20190911,3.0069999999999997,-0.014000000000000679,0.006208551648629816,-0.0030027743460843484,0.00022675361055742992,-0.001770568267902868,-0.001000526249378075
0,20191014,3.0610000000000004,0.02900000000000036,0.006661948239352865,0.0004533965907230486,0.001455360129955084,0.0010477258592776414,-0.002605178235246248
0,20191015,3.062,0.0009999999999994458,0.006221273038266254,-0.00044067520108661065,1.720828291801934e-06,0.0004044167915255781,-0.0008863242893748927
0,20191016,3.051,-0.010999999999999677,0.0056788030623071695,-0.0005424699759590847,0.00020016412809598815,0.0002624354331561828,-0.0008893029601563364
0,20191017,3.0589999999999997,0.007999999999999563,0.004721125000830748,-0.0009576780614764212,0.0001382360201337331,-0.00025922363856022726,-0.0012057417534322074
0,20191018,3.014,-0.04499999999999993,0.005280440621536035,0.000559315620705287,0.003632353330624771,-0.003137927015436605,-0.0009765257513797424
0,20191021,3.016,0.002000000000000224,0.0019629087227044963,-0.003317531898831539,9.823079748237897e-06,-2.3363789317746133e-05,-0.003309994243787164
0,20191028,3.028,0.014000000000000234,0.001963958410242047,1.049687537550692e-06,0.0002157475610007423,0.000997014569089306,-0.0013160683713360675
0,20191029,3.016,-0.01200000000000001,0.00239312344767929,0.000429165037437243,0.00016740226998388652,0.0008364138097201962,-0.00047926479241196956
0,20191030,2.9989999999999997,-0.017000000000000348,0.0006124170065256763,-0.0017807064411536136,0.0003299799913580377,-0.0016536567455852189,-0.0005137841263397008
0,20191031,3.003,0.004000000000000448,0.001436788740165413,0.0008243717336397366,1.7009955413549137e-05,0.0012604179074839571,-0.000441328904617557
0,20191101,3.052,0.04899999999999993,0.004398203715006474,0.002961414974841061,0.0026052864898746192,0.0014669931714869013,-0.00048463070298025365
0,20191104,3.069,0.016999999999999904,0.004338054672342811,-6.0149042663663194e-05,0.0003528560267675978,0.0013058024935775554,-0.001643920300552901
0,20191105,3.0860000000000003,0.017000000000000348,0.004897034948169742,0.0005589802758269313,0.0003513051907100404,0.0008039087571849143,-0.0005917545902324866
0,20191113,3.015,-0.0019999999999997797,0.0050038767018473936,0.00010684175367765142,-6.5452599475138054e-06,-0.0006242444825852675,0.0007059150374723665
0,20191114,3.013,-0.002000000000000224,0.005045801143271078,4.192444142368454e-05,-6.378172429637907e-06,-0.0008111432639415139,0.0007397382457065158
0,20191115,3.003,-0.009999999999999787,0.0069707673017207206,0.0019249661584496425,-0.0001604803548210942,8.17173230716426e-05,0.0007971445360811561
0,20191118,3.0269999999999997,0.023999999999999577,0.006881843468680503,-8.892383304021784e-05,-0.0009120401349869748,-0.0009714173235000797,0.0021281601718407908
0,20191119,3.0460000000000003,0.019000000000000572,0.0075639213823314785,0.0006820779136509757,-0.0012312619537534046,-0.0010873470983329037,0.0011173858224074865
